symbol,old_target,new_target,peak_price,decay_pct,reason
AMIX,4.13,4.13,3.88,0.05,"decay bracket <1:30pm 5%; peak 3.88 < avg_buy 3.93 so trailing invalid, no touch of breakeven yet; target unchanged"
ADBG,4.46,4.47,4.27,0.05,"decay bracket <1:30pm 5% recomputed to 4.47 (prior resting order was 4.46, off by $0.01); trailing_target 4.19 invalid (below avg_buy 4.25); cancelled+replaced"
NRXP,3.15,3.15,3.13,0.05,"decay bracket <1:30pm 5%; trailing_target 3.07 < decay_target 3.15, decay governs; target unchanged"
