symbol,name,last_price,pct_change,market_cap,volume
CISS,C3is Inc,0.14655,-0.7182272639876947,777671,4.296107434585e+06
MPLT,MapLight Therapeutics,11.31,-0.6906455142231948,1.657837914e+09,1.282550505831e+06
CAPR,Capricor,6.505,-0.6697969543147209,1.140285173e+09,5.422723790151e+06
STAK,STAK Inc.,3.09,-0.6666666666666666,1.77983883e+08,3.967332575277e+06
OMH,Ohmyhome Limited Class A,0.2177,-0.5675407230830353,1.1439679e+07,4.9122401163523e+07
ATTR,Arin Tactical Tail Risk ETF,45.1,-0.5213294940633182,,0
BIOT,Instinct Bio Technical,8.22,-0.46967741935483864,,23166.580332
WETO,Wetour Robotics,0.054,-0.4648166501486621,7.71552e+06,1.2279155571228e+07
QBTZ,Defiance Daily Target 2x Short QBTS ETF,4.8,-0.3152639087018545,,655499.992978
VTIX,Virtuix Holdings Inc. Class A,1.9502,-0.26128787878787885,8.7410055e+07,8.905096348134e+06
YYAI,AiRWA Inc.,8.44,-0.25474613686534214,1.2068541e+07,62724.093293
XFEB,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - February,28.91,-0.22741849278460718,,0
BMNZ,Defiance Daily Target 2X Short BMNR ETF,14.6983,-0.22231216931216927,,203451.395029
RGTZ,Defiance Daily Target 2x Short RGTI ETF,4.69,-0.21833333333333327,,1.1833158107e+06
IONZ,Defiance Daily Target 2X Short IONQ ETF,4.82,-0.2072368421052631,,1.477369258046e+06
PFSA,Profusa,1.37,-0.19883040935672508,906300,4.941862519247e+06
AKAN,Akanda,6.3,-0.18499353169469607,4.1807e+06,68703.051622
NEXR,Nexera Technologies,0.2729,-0.18488649940262847,2.053027e+06,154387.102606
WLDS,Wearable Devices,2.8808,-0.18390934844192636,7.772614e+06,426105.423124
OFAL,OFA Group Class A,0.0915,-0.18084153983885404,2.846697e+06,368344.4029
BNRG,Brenmiller Energy,0.55,-0.17983895019385615,1.551353e+06,785499.138133
VIVK,Vivakor,2.3899,-0.17872852233676984,1.941552e+06,1.613056078677e+06
JEM,707 Cayman Holdings Limited,5.23,-0.1763779527559054,4.280537e+06,210659.543477
IMCC,IM Cannabis,0.1,-0.172870140612076,1.045918e+06,1.821347904687e+06
DCOY,Decoy Therapeutics,4.185,-0.16964285714285723,2.606696e+06,886270.529489
WBUY,WEBUY GLOBAL LTD.,0.7066,-0.1679227508243052,4.654552e+06,244469.1816
NVC,Corgi NVDA 2x Daily ETF,23,-0.1579594795457374,,0
SKYQ,Sky Quarry,3.9601,-0.1574255319148936,2.2510862e+07,1.027234363555e+06
MNDR,Mobile-health Network Solutions,1.84,-0.15596330275229361,2.604092e+06,127870.404067
RESM,Columbia Research Enhanced Small Cap ETF,20.21,-0.15482826829706878,,0
TMDE,TMD Energy Limited,0.7967,-0.1537072445294243,2.2184091e+07,164473.623462
SMOX,Horizon Small/Mid Cap Core Equity ETF,25.67,-0.15087443063600064,,0
DBGI,Digital Brands Group,10.99,-0.148062015503876,7.441504e+06,13337.933364
ADVB,Advanced Biomed,16.39,-0.13645943097997892,3.1357484e+07,86763.228829
VLLU,Harbor AlphaEdge Large Cap Value ETF,22.85,-0.13296881343841413,,0
IPCX,Inflection Point Acquisition Corp. III Class A,9.05,-0.13147792706333966,3.59212129e+08,16748.2788
BCAR,D. Boral ARC Acquisition I Corp. Class A,8.99,-0.13140096618357483,4.27244e+08,70111.5465
JZ,Jianzhi Education Technology Group,2.215,-0.13137254901960785,6.141197e+06,26955.668433
VCX,Fundrise Innovation Fund,48.39,-0.1299892125134843,,42682.26075
BEZ,Tradr 2X Short BE Daily ETF,19.21,-0.12562585343650423,,96481.600776
REPL,Replimune,8.485,-0.12525773195876289,8.13848335e+08,805294.235966
XHLD,"TEN Holdings, Inc.",1.6305,-0.12338709677419356,2.2038495e+07,3732.320644
ZYBT,Zhengye Biotechnology Holding,1.52,-0.1213872832369942,8.0091425e+07,251517.770788
NBIZ,Tradr 2X Short NBIS Daily ETF,25.14,-0.1203638908327501,,235068.700936
IWML,ETRACS 2x Leveraged US Size Factor TR ETN,27.86,-0.1174523326057964,,0
BATL,Battalion Oil,1.4399,-0.11662576687116562,3.5890723e+07,2.688245148122e+06
UXJL,FT Vest U.S. Equity Uncapped Accelerator ETF - July,31.72,-0.11524418646814522,,0
TELA,TELA Bio,0.6116,-0.11490593342981176,3.1336302e+07,13046.766708
PVEX,TrueShares ConVequity ETF,26.55,-0.11255360610750302,,0
RCON,Recon Technology,0.4183,-0.11170099808876616,4.2676454e+07,151197.579091
LEGN,Legend Biotech,19.75,-0.11116111611161111,4.298232167e+09,794006.061341
BANL,CBL International,4.465,-0.11055776892430275,1.0598146e+07,4570.076923
AIQD,MicroSectors -3x Short Artificial Intelligence (AI) ETNs,69.9201,-0.11050938276410839,,0
TPET,Trio Petroleum,0.2621,-0.10941216445803603,1.3027976e+07,1.111035476863e+06
RKLZ,Defiance Daily Target 2x Short RKLB ETF,4.85,-0.10681399631675877,,913851.991983
