symbol,name,last_price,pct_change,market_cap,volume
HWO,Hotchkis & Wiley Funds Hotchkis & Wiley Opportunities Fund,27.04,-0.9969342537797963,,0
HXC,Mast HedgeIndex Strategic Commodities ETF,25.01,-0.9959855702035249,,6
AMOD,Alpha Modus,2.665,-0.3005249343832021,1.8873908e+07,1.31632834835e+06
KXIN,Kaixin,3.67,-0.29693486590038315,8.621391e+06,414289.397377
CISS,C3is Inc,2.11,-0.279863481228669,793021,1.045841868169e+07
CHGA,Change Agents Corporation,0.13,-0.2741485203796762,3.572472e+06,1.678024843378e+06
AIXI,Xiao-I Corporation,0.5977,-0.2571464081531195,754403,4.632727802379e+06
BBW,Build A Bear,30.1,-0.23017902813299232,4.90214021e+08,923193.793932
PUL,GraniteShares 2x Long P Daily ETF,34.722,-0.22476674012203854,,5945.1247
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,4.795,-0.2021630615640599,,1.8730842552345e+07
SMST,Tidal Trust II Defiance Daily Target 2x Short MSTR ETF,23.9716,-0.19720026791694578,,693630.375839
CRE,Cre8 Enterprise Limited Class A,5.5,-0.19236417033773856,1.3715237e+07,716703.934962
TKNS,21Shares Active Crypto ETF,21.59,-0.1886508831266441,,0
VBIO,Valion Bio,0.1267,-0.18782051282051276,647596,4.061720054786e+06
VEEA,Veea,0.1003,-0.18122448979591835,7.247949e+06,3.2609284353e+06
SOAR,Volato Group,0.2004,-0.17496912309592427,1.3027515e+07,2.7451442082077e+07
VWAV,VisionWave Holdings,0.8425,-0.17401960784313725,3.0808261e+07,1.616875704634e+06
GRAN,Grande Group Limited,1.11,-0.1716417910447761,3.3374375e+07,340.2936
CALC,"CalciMedica, Inc.",0.491,-0.1642553191489362,1.8051488e+07,472725.083142
OMH,Ohmyhome Limited Class A,0.0824,-0.15918367346938778,7.911506e+06,2.0054926058691e+07
DCX,Digital Currency X Technology,0.7348,-0.1554022988505747,3.16384306e+08,35679.492171
NXL,Nexalin Technology,0.2499,-0.1528813559322033,7.589268e+06,364302.157048
EXYN,Exyn Technologies,3.4,-0.15000000000000002,3.1815828e+07,320323.51317
NVD,GraniteShares 2x Short NVDA Daily ETF,3.8404,-0.14467706013363038,,8.3227797783326e+07
NVDQ,T-Rex 2X Inverse NVIDIA Daily Target ETF,8.695,-0.14377154111275225,,8.295267895786e+06
HQY,HealthEquity,89.525,-0.14264508714805588,8.729737233e+09,549127.028066
APRE,Aprea Therapeutics,0.8426,-0.14020408163265302,1.2339313e+07,462736.796291
SMTK,SmartKem,3.64,-0.13744075829383878,2.379807e+06,227737.396066
XPON,Expion360,7.925,-0.13576881134133043,8.693101e+06,623747.298471
FTFT,Future FinTech Group Inc.,0.5874,-0.13477684489615543,2.1619627e+07,141643.6761
WEN,Wendy's,7.8644,-0.13004424778761056,1.72337656e+09,8.621893379299e+06
SMJF,SMJ International Holdings,9.95,-0.12180052956751992,3.1389765e+08,571084.716481
RDIB,Reading International,13.51,-0.12158647594278289,6.7145228e+07,90657.957897
LUCY,Innovative Eyewear,1.0001,-0.11495575221238931,9.728391e+06,3.785992393834e+06
APUS,Apimeds Pharmaceuticals US,4.075,-0.11413043478260859,6.941942e+06,150259.796766
P,Everpure,96.52,-0.11368227731864104,3.6198897094e+10,2.586617833568e+06
GTN.A,"Gray Media, Inc. Class A",6.23,-0.11126961483594856,5.27310015e+08,3488.695291
YAAS,Youxin Technology,2.24,-0.11111111111111104,3.9286592e+07,2.8146153256467e+07
HCWC,Healthy Choice Wellness,0.2718,-0.1103109656301146,9.915866e+06,2.2472109946e+06
NVDS,Tradr 1.5X Short NVDA Daily ETF,18.36,-0.11001667506883316,,1.128376030415e+06
NEXA,Nexa Resources,13.87,-0.10975609756097567,2.063393559e+09,688643.712404
FBDT,First Breach Inc.,1.0688,-0.10933333333333332,5.61149e+07,771553.554799
WSHP,WeShop Holdings,5.51,-0.10913500404203716,7.2089552e+07,337849.000209
APLZ,Tradr 2X Short APLD Daily ETF,20.25,-0.10871478873239432,,27259.9473
CRCD,T-REX 2X Inverse CRCL Daily Target ETF,2.285,-0.10742187499999996,,1.921883240446e+06
NBIZ,Tradr 2X Short NBIS Daily ETF,6.26,-0.10571428571428575,,3.232055089307e+06
XEUR,Corgi Europe Equities 2x Daily ETF,24.17,-0.10518599691979613,,0
BMGL,Basel Medical Group Ltd,5.32,-0.10362257792754834,9.283296e+06,25457.6762
BDRX,Biodexa Pharmaceuticals,0.8766,-0.1030389849585592,1.005705e+06,148101.817151
PALD,Direxion Daily PANW Bear 1X ETF,10.342,-0.10200750208391214,,109427.0613
EFFE,Harbor Osmosis Emerging Markets Resource Efficient ETF,25.54,-0.10122956300190733,,0
XCOM,Corgi All Commodities 2x Daily ETF,22,-0.1003737538131885,,0
PMI,Picard Medical,8.825,-0.09948979591836749,2.0128406e+07,1.537977822399e+06
IONZ,Defiance Daily Target 2X Short IONQ ETF,2.6298,-0.09938356164383562,,3.857505590849e+06
TP,Ticketplus Ltd.,7.04,-0.0985915492957746,1.8775279e+08,20100.281355
CONI,GraniteShares ETF Trust GraniteShares 2x Short COIN Daily ETF,28.451,-0.09747842113444087,,106330.884044
FGL,Founder Group Limited Class A,0.1737,-0.09625390218522381,216528,2.819422413476e+06
LUCK,Lucky Strike Entertainment Corp,6.1,-0.09495548961424341,9.19215528e+08,278235.707452
BNR,Burning Rock Biotech,9.45,-0.09482758620689657,1.10103819e+08,5735.675365
