symbol,skip_reason,detail
GIPR,a1_spread,spread_pct=0.1145 (>0.08)
ITOC,a3_prior_spike,peak_to_baseline_ratio=1.378 volume_spike_ratio=226.8
GRNQ,a1_spread,spread_pct=0.2253 (>0.08)
APUS,a1_spread,spread_pct=0.0857 (>0.08)
AKAN,a3_prior_spike,peak_to_baseline_ratio=2.075 volume_spike_ratio=7.0
BTAI,a3_prior_spike,peak_to_baseline_ratio=1.4536 volume_spike_ratio=6.836
CTXR,a3_prior_spike,peak_to_baseline_ratio=1.626 volume_spike_ratio=23.28
VTAK,a6_split_ratio_proxy,split_ratio_proxy=18.578 (>15)
CTOR,a3_prior_spike,peak_to_baseline_ratio=1.690 volume_spike_ratio=25.35
OFAL,a3_prior_spike,peak_to_baseline_ratio=3.516 (>=2.5)
CMCT,a3_prior_spike,peak_to_baseline_ratio=2.018 volume_spike_ratio=5.584
CISS,a3_prior_spike,peak_to_baseline_ratio=3.382 (>=2.5); also would likely trip a6 (known serial reverse-splitter)
THCH,a1_spread,spread_pct=0.3333 (>0.08)
MWYN,a1_spread,spread_pct=0.2247 (>0.08)
WRAP,a7_ask_gap_exceeded,last_real_price=1.57 ask=1.62 ask_gap_pct=0.0318 (>0.03)
ONMD,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
FRGT,a6_split_ratio_proxy,split_ratio_proxy=32.59 (>15)
SXTC,a3_prior_spike,peak_to_baseline_ratio=4.158 (>=2.5)
INHD,a3_prior_spike,"peak_to_baseline_ratio=3.158 (>=2.5, using real-trade-only baseline; first 5 window bars were zero-volume/stale placeholders at flat 39.49)"
CIFC,a3_prior_spike,peak_to_baseline_ratio=1.4222 volume_spike_ratio=6.564; note quote also stale (no trade since 2026-08-14 close)
AGRZ,a3_prior_spike,peak_to_baseline_ratio=2.386 volume_spike_ratio=1095.1
RFAI,a1_spread_at_execution,spread_pct widened from 0.0800 at scan-time quote to 0.2565 at execution-time requote (bid dropped 9.06->7.36 while ask held ~9.83); skipped at buy-time re-check
RCON,a5_compliance,financial_status_indicator=CC4 financial_status_description=Noncompliant
SORA,a3_prior_spike,peak_to_baseline_ratio=1.998 volume_spike_ratio=17.99
AMZE,a3_prior_spike,peak_to_baseline_ratio=1.71 volume_spike_ratio=9.926
BZAI,a3_prior_spike,peak_to_baseline_ratio=1.360 volume_spike_ratio=15.97
MGLD,a1_spread,spread_pct=0.1023 (>0.08)
NSPR,a1_spread,spread_pct=0.1756 (>0.08)
BANL,a3_prior_spike,peak_to_baseline_ratio=2.442 volume_spike_ratio=162.75
FUFU,a4_earnings_recency,"days_since_earnings=0 (reported 2026-08-17 am, same day)"
GEMG,a6_split_ratio_proxy,split_ratio_proxy=60.62 (>15)
ZTG,a3_prior_spike,peak_to_baseline_ratio=4.138 (>=2.5); also had anomalous stale bid=ask=5.17 vs last=8.74
ONFO,a3_prior_spike,peak_to_baseline_ratio=1.934 volume_spike_ratio=54.07
DGNX,a3_prior_spike,peak_to_baseline_ratio=1.486 volume_spike_ratio=10.97
LNKS,a6_split_ratio_proxy,split_ratio_proxy=415.8 (>15)
VBIO,a3_prior_spike,peak_to_baseline_ratio=4.496 (>=2.5)
CNSY,a4_earnings_recency,"days_since_earnings=3 (reported 2026-08-14 pm, exactly at <=3 threshold)"
