symbol,last_price,pct_change,failed_guardrail,skip_reason,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,financial_status_description,split_ratio_proxy,ask_gap_pct,last_real_price
ONFO,0.0451,-0.2483333333333333,a2,atr_14_pct=0.867 > 0.80,0.867,0.5582,,,,,,,,
BIVI,1.035,-0.23333333333333345,a3,peak_to_baseline_ratio=1.4747>=1.35 AND volume_spike_ratio=86.95>=5.0,0.2782,0.557,1.4747,86.949,,,,,,
XPOF,4.915,-0.22720125786163525,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
WEAV,5.29,-0.2057057057057057,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
PAVS,5.47,-0.2049418604651163,a5,financial_status_indicator=CC0 present,,,,,,CC0,,,,
YXT,6.33,-0.2037735849056604,a2,atr_3_pct=1.9773 > 0.80,0.5612,1.9773,,,,,,,,
TTGT,3.53,-0.18097447795823662,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
CTM,0.655,-0.17744568629913346,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
LBGJ,3.3948,-0.17601941747572816,a2,atr_14_pct=9.6355 and atr_3_pct=1.0358 both > 0.80,9.6355,1.0358,,,,,,,,
MERC,0.56,-0.17073893084555006,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
FCUV,6.835,-0.16747868453105977,a3,peak_to_baseline_ratio=4.9573>=2.5 (07-31 spike),0.3316,0.5561,4.9573,5555.7,,,,,,
XCH,0.251,-0.1633333333333333,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
LITZ,9.62,-0.16275021758050487,a5,financial_status_indicator=CB0 present,,,,,,CB0,,,,
ARDX,4.091,-0.159958932238193,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
IONZ,2.91,-0.15895953757225428,a5,financial_status_indicator=CC0 present,,,,,,CC0,,,,
SKYQ,3.2675,-0.15349740932642483,a5,financial_status_indicator=CC0 present,,,,,,CC0,,,,
GAUZ,0.3607,-0.15129411764705875,a5,financial_status_indicator=CC10 (Noncompliant),,,,,,CC10,Noncompliant,,,
ARKO,6.21,-0.14814814814814817,a4,"earnings reported today 2026-08-07, days_since_earnings=0",,,,,0,,,,,
OM,4.46,-0.14230769230769236,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
RKLZ,2.98,-0.13623188405797107,a5,financial_status_indicator=CC0 present,,,,,,CC0,,,,
MSTZ,9.515,-0.13342440801457192,a5,financial_status_indicator=CB0 present,,,,,,CB0,,,,
GSUN,0.47,-0.1294684200777923,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
WEST,7.0535,-0.1281211372064277,a4,"earnings reported 2026-08-06, days_since_earnings=1",,,,,1,,,,,
SXTC,0.0471,-0.1261595547309833,a2,atr_14_pct=5.0713 and atr_3_pct=1.2075 both > 0.80,5.07127,1.2075,,,,,,,,
CRCD,5.0493,-0.12490467937608318,a5,financial_status_indicator=CB0 present,,,,,,CB0,,,,
QBTZ,3.045,-0.11994219653179192,a5,financial_status_indicator=CC0 present,,,,,,CC0,,,,
CIA,4.025,-0.11925601750547044,a1,spread_pct=0.1175 > 0.08,,,,,,,,,,
SERV,5.025,-0.11531690140845059,a4,"earnings reported 2026-08-07 (pm), days_since_earnings=0",,,,,0,,,,,
SG,5.195,-0.11499148211243608,a4,"earnings reported 2026-08-06 (pm), days_since_earnings=1",,,,,1,,,,,
GEOS,6.04,-0.1143695014662757,a4,"earnings reported 2026-08-06 (pm), days_since_earnings=1",,,,,1,,,,,
SVCO,7.635,-0.11324041811846687,a4,"earnings reported 2026-08-06 (pm), days_since_earnings=1",,,,,1,,,,,
SKIN,0.6849,-0.10797082573586882,a4,"earnings reported 2026-08-06 (pm), days_since_earnings=1",,,,,1,,,,,
MGRX,0.4701,-0.1079696394686907,a5,financial_status_indicator=CC4 (Noncompliant),,,,,,CC4,Noncompliant,,,
BONK,2.48e-06,-0.10791366906474824,a1,not_tradable_no_equity_instrument (404 missing_instruments on quote lookup),,,,,,,,,,
TAOP,0.6873,-0.10156862745098037,a1,spread_pct=0.0803 > 0.08,,,,,,,,,,
ASPN,6.2,-0.10014513788098688,a3,peak_to_baseline_ratio=1.3652>=1.35 AND volume_spike_ratio=14.80>=5.0 (8/6 gap-up),0.09039,0.2074,1.3652,14.8018,,,,,,
