symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.17,7.17,7.10,0.02,no change
SOBR,1.23,1.35,1.37,0.02,trailing
ALP,0.26,0.27,0.2669,0.02,trailing
VIVS,0.69,0.70,0.7063,0.02,trailing
ZBAO,0.26,0.26,0.2577,0.02,no change
VCIG,1.13,1.43,1.45,0.02,trailing
GORO,1.02,1.30,1.32,0.02,trailing
PLAG,1.03,1.78,1.8106,0.02,trailing
STFS,11.71,16.17,16.50,0.02,trailing
JAGX,1.39,1.94,1.975,0.02,trailing
DFNS,0.06,0.07,0.069,0.02,trailing
