symbol,old_target,new_target,peak_price,decay_pct,avg_buy_price,fill_date,reason,auto_liquidate
PLTD,6.77,6.78,6.4901,0.05,6.45,2026-08-04,decay_target (trailing 6.37 invalid < avg_buy_price),N/A (bought prior day)
TJGC,3.99,3.99,3.85,0.05,3.80,2026-08-06,decay_target unchanged (trailing 3.78 invalid < avg_buy_price),not_triggered (peak 3.85 touched breakeven since fill)
