timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-18T14:44:00Z,BAK,1.89,1.89,1.85,1.695,0.05,decay_dominant;sessions_held=2;dd=-0.0444
2026-09-18T14:44:00Z,RADX,1.91,1.91,1.91,1.5,0.05,decay_dominant;sessions_held=3;dd=-0.0387
2026-09-18T14:44:00Z,MRLN,2.51,2.51,2.4,1.8101,0.05,decay_dominant;sessions_held=2;dd=-0.2081
2026-09-18T14:44:00Z,TNON,4.77,4.77,4.65,3.8,0.05,decay_dominant;sessions_held=2;dd=-0.0969
2026-09-18T14:44:00Z,GWAV,2.59,2.59,2.59,2.1901,0.05,decay_dominant;a2_cleared_peak_above_tolerance;sessions_held=0
2026-09-18T14:44:00Z,NUWE,0.977,0.977,0.97,0.8802,0.05,decay_dominant;a2_cleared_peak_above_tolerance;sessions_held=0
2026-09-18T14:44:00Z,AEI,0.897,0.897,0.8473,0.8473,0.05,new_position_bought_this_firing;target_set_at_buy;a2_not_yet_60min
2026-09-18T14:44:00Z,RTB,8.17,8.17,7.8,7.8,0.05,new_position_bought_this_firing;target_set_at_buy;a2_not_yet_60min
2026-09-18T14:44:00Z,TRVG,6.23,6.23,5.91,5.91,0.05,new_position_bought_this_firing;target_set_at_buy;a2_not_yet_60min
