symbol,quantity,avg_fill_price,limit_sell_price,last_price_at_scan,pct_change_at_scan,spread_pct,atr14_pct,atr3_pct,peak_to_baseline_ratio,volume_spike_ratio,days_since_earnings,financial_status_indicator,split_ratio_proxy,ask_gap_pct,order_id_buy,order_id_sell
IREZ,1,8.6609,9.10,8.885,-0.15057361376673048,0.0047,0.5385,0.3138,1.826,2.05,none,CB0,13.84,0.0141,6a7dca73-4758-4adf-856e-164c6b82630d,6a7dca7d-b502-45ce-8cb4-2c603613021f
ONDG,1,3.7062,3.90,3.5716,-0.13043478260869557,0.0056,0.1314,0.1090,1.623,1.59,none,CC0,4.87,-0.0042,6a7dca86-6ea6-495f-bb8c-d18c63a35f70,6a7dca90-cc85-4acb-95bd-d45fa9ddd939
ONDU,1,5.9399,6.24,5.8,-0.12912912912912916,0.0276,0.1234,0.1001,1.625,1.49,none,CB0,5.14,0.0036,6a7dca97-49ff-4342-a195-47f4e894647c,6a7dca9f-a863-4ccc-b13d-4f33d311520a
ONDL,1,9.4799,9.96,9.24,-0.12417061611374411,0.0131,0.1334,0.1079,1.595,1.25,none,CB0,6.47,0.0071,6a7dcaa6-a1de-4aee-9318-fb8bea3e0fbf,6a7dcaad-de6b-44e8-8b21-a55ff65aa9ee
OPEG,2,2.0873,2.20,2.091,-0.10582554656413462,0.0096,0.1982,0.1188,1.032,6.02,none,CC0,8.06,-0.0340,6a7dcab5-d9b8-4d41-b07b-fcd72cfd5252,6a7dcabc-a806-42cc-8263-efc6fb0de86d
LUNL,1,5.4399,5.72,4.82,-0.1005586592178771,0.0041,0.1896,0.1445,1.374,2.02,none,CB0,11.76,-0.0282,6a7dcac8-0dd0-46e7-9bed-09666ac834f9,6a7dcace-e523-4dcb-a85f-88aa6b213b72
