symbol,entry_price,pct_change,quantity,avg_fill_price,limit_sell_price,spread_pct,atr_14_pct,atr_3_pct,peak_to_baseline_ratio,volume_spike_ratio,fundamentals_guardrails_failed,evaluated_at,firing
OCGN,1.1199,-0.17293233082706766,4,1.1199,1.18,0.00893,0.0578,0.0485,1.100,2.58,,2026-09-09T14:41:03Z,10:30
WYHG,4.95,-0.15136054421768702,1,5.0399,5.30,0.05657,0.2510,0.1814,1.318,73.88,,2026-09-09T14:41:07Z,10:30
NTHI,3.47,-0.14742014742014742,1,3.5099,3.69,0.01153,0.1527,0.1881,1.191,1.43,,2026-09-09T14:41:08Z,10:30
FJET,2.225,-0.1463878326996197,2,2.2099,2.33,0.004494,0.1140,0.0942,1.048,2.07,,2026-09-09T14:41:09Z,10:30
GIXI,5.29,-0.1222596964586846,1,5.2859,5.56,0.0189,0.2658,0.5615,2.480,2.10,,2026-09-09T14:41:10Z,10:30
