symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
SRRK,under120,20260722T1637Z,morning,47.81,-0.06033805031446541,False,10-120,True,2026-07-22T18:30:00Z,49.38,
SRXH,under120,20260722T1336Z,morning,1.82,-0.09900990099009899,False,1-3,True,2026-07-22T16:00:00Z,1.92,
STAK,under120,20260722T1637Z,morning,1.26,-0.12499999999999996,False,1-3,True,2026-07-22T19:50:00Z,1.29,
STFS,under120,20260722T1637Z,morning,6.29,-0.16688741721854303,True,3-10,False,,6.29,97.98
STI,under120,20260722T1937Z,afternoon,6.56,-0.06685633001422484,False,3-10,False,,6.6923,99.89
SURG,under120,20260722T1637Z,morning,0.28,-0.053094352384173114,False,<1,False,,0.285,99.65
SVCO,under120,20260722T1937Z,afternoon,8.33,-0.05555555555555558,False,3-10,False,,8.33,98.0
SWMR,under120,20260722T1336Z,morning,43.87,-0.050021654395842406,False,10-120,False,,44.26,98.91
SXTC,under120,20260722T1336Z,morning,1.9301,-0.27981343283582094,False,1-3,True,2026-07-22T13:35:00Z,2.0813,
TCI,under120,20260722T1937Z,afternoon,40.02,-0.05968045112781953,False,10-120,False,,40.02,98.02
TCRT,under120,20260722T1937Z,afternoon,1.98,-0.05263157894736836,False,1-3,False,,1.98,98.02
TDOC,under120,20260722T1637Z,morning,9.065,-0.0664263645726057,False,3-10,False,,9.065,98.0
TDUP,under120,20260722T1937Z,afternoon,5.88,-0.08553654743390356,False,3-10,True,2026-07-22T19:55:00Z,6.07,
TEAM,under120,20260722T1937Z,afternoon,85.21,-0.05949227373068434,False,10-120,False,,85.94,98.87
TEL,120to500,20260722T1336Z,morning,195.555,-0.06437491029137354,False,120-500,True,2026-07-22T19:50:00Z,199.76,
TENB,under120,20260722T1637Z,morning,32.25,-0.053974772660604374,False,10-120,True,2026-07-22T19:55:00Z,32.95,
TENX,under120,20260722T1637Z,morning,14.85,-0.055343511450381744,False,10-120,False,,14.89,98.28
TGL,under120,20260722T1637Z,morning,3.36,-0.0614525139664805,False,3-10,False,,3.4,99.13
TLSA,under120,20260722T1937Z,afternoon,0.9346,-0.06540000000000001,False,<1,True,2026-07-22T19:40:00Z,0.9654,
TLX,under120,20260722T1637Z,morning,10.365,-0.050824175824175796,False,10-120,False,,10.39,98.2
TMCI,under120,20260722T1937Z,afternoon,3.96,-0.06382978723404266,False,3-10,False,,3.97,98.27
TNXP,under120,20260722T1637Z,morning,10.89,-0.05795847750865051,False,10-120,False,,11.03,99.28
TOMZ,under120,20260722T1937Z,afternoon,1.7294,-0.06010869565217393,False,1-3,True,2026-07-22T19:55:00Z,1.82,
TOP,under120,20260722T1637Z,morning,2.09,-0.06278026905829602,False,1-3,True,2026-07-22T17:35:00Z,2.18,
TOPP,under120,20260722T1637Z,morning,0.66,-0.06661009758167151,False,<1,False,,0.6641,95.69
TRAW,under120,20260722T1336Z,morning,0.57,-0.0603363006923839,False,<1,False,,0.5702,97.97
TRIB,under120,20260722T1336Z,morning,0.32,-0.10788960133816562,False,<1,False,,0.33,100.92
TRNR,under120,20260722T1637Z,morning,3.06,-0.061349693251533666,False,3-10,False,,3.1,99.04
TRUP,under120,20260722T1937Z,afternoon,24.52,-0.051450676982591946,False,10-120,False,,24.75,98.92
TSEG,under120,20260722T1336Z,morning,9.6101,-0.07238416988416992,False,3-10,True,2026-07-22T13:55:00Z,10.15,
TTAN,under120,20260722T1637Z,morning,67.93,-0.0689418859649121,False,10-120,True,2026-07-22T19:45:00Z,69.545,
TTEC,under120,20260722T1937Z,afternoon,1.945,-0.05352798053527985,False,1-3,False,,1.975,99.25
TWLO,120to500,20260722T1637Z,morning,184.21,-0.06120680868413001,False,120-500,False,,185.1,98.51
TWSC,under120,20260722T1336Z,morning,20.99,-0.0930185328418898,False,10-120,True,2026-07-22T14:25:00Z,22.5,
TXXH,under120,20260722T1336Z,morning,38.16,-0.05660610585492608,False,10-120,False,,38.85,98.83
TYL,120to500,20260722T1937Z,afternoon,283.295,-0.054864215653566396,False,120-500,False,,284.51,98.46
UPB,under120,20260722T1637Z,morning,6.605,-0.053724928366762174,False,3-10,False,,6.665,98.89
UPC,under120,20260722T1637Z,morning,3.9,-0.08018867924528308,False,3-10,True,2026-07-22T17:25:00Z,4.26,
UPLD,under120,20260722T1336Z,morning,4.3701,-0.06820895522388071,False,3-10,True,2026-07-22T13:40:00Z,4.6,
VBIO,under120,20260722T1637Z,morning,0.2877,-0.07491961414790993,False,<1,False,,0.29,98.64
VEEE,under120,20260722T1336Z,morning,24.01,-0.08533333333333327,False,10-120,False,,24.9251,101.74
VELO,under120,20260722T1937Z,afternoon,10.5002,-0.0732391879964696,False,10-120,False,,10.57,98.6
VERX,under120,20260722T1637Z,morning,11.23,-0.08550488599348526,False,10-120,False,,11.27,98.34
VHUB,under120,20260722T1937Z,afternoon,0.79,-0.11553963278101205,False,<1,True,2026-07-22T19:55:00Z,0.8765,
VIA,under120,20260722T1637Z,morning,16.98,-0.060840707964601656,False,10-120,True,2026-07-22T19:55:00Z,17.54,
VIVK,under120,20260722T1336Z,morning,2.0838,-0.19232558139534883,True,1-3,False,,2.11,99.06
VNRX,under120,20260722T1637Z,morning,1.035,-0.06756756756756772,False,1-3,False,,1.06,100.0
