symbol,entry_price,pct_change,skip_reason,guardrail_detail,fundamentals_guardrails_failed,evaluated_at,firing
AMOD,2.16,-0.223827,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-02T13:42:00Z,9:30
CDT,1.15,-0.216216,a6_reverse_split_proxy,split_ratio_proxy=2364.70;high_52_weeks=2719.4;last_price=1.15,a6,2026-09-02T13:42:00Z,9:30
CANF,2.7393,-0.203647,a7_thin_liquidity,ask_gap_pct=0.0456;last_real_price=2.63;ask=2.75;reason=gap_exceeded,,2026-09-02T13:42:00Z,9:30
ASTN,5.13,-0.201493,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x inverse exposure,a8,2026-09-02T13:42:00Z,9:30
LHSW,2.6025,-0.15625,a3_prior_spike,peak_to_baseline_ratio=1.488;volume_spike_ratio=27.42,,2026-09-02T13:42:00Z,9:30
FMFC,0.1939,-0.155788,a5_compliance,financial_status_indicator=CC4;financial_status_description=Noncompliant,a5;a6,2026-09-02T13:42:00Z,9:30
HKPD,0.1537,-0.15427,a2_atr,atr3_pct=0.9148;atr14_pct=0.3949,,2026-09-02T13:42:00Z,9:30
KIDZ,3.3603,-0.137037,a6_reverse_split_proxy,split_ratio_proxy=6517.65;high_52_weeks=21900.0;last_price=3.3603,a6,2026-09-02T13:42:00Z,9:30
DBGI,4.26,-0.134969,a6_reverse_split_proxy,split_ratio_proxy=169.01;high_52_weeks=720.0;last_price=4.26,a6,2026-09-02T13:42:00Z,9:30
USDE,7.406,-0.129175,a3_prior_spike,peak_to_baseline_ratio=3.73;volume_spike_ratio=285.12,,2026-09-02T13:42:00Z,9:30
WETO,5.15,-0.127946,a2_atr,atr14_pct=2.0001;atr3_pct=1.1476,,2026-09-02T13:42:00Z,9:30
DLXY,0.3723,-0.115581,a1_spread,spread_pct=0.1099,,2026-09-02T13:42:00Z,9:30
ORKT,0.9305,-0.11381,a1_spread,spread_pct=0.1822,,2026-09-02T13:42:00Z,9:30
ELOG,0.7299,-0.108919,a1_spread,spread_pct=0.2453,,2026-09-02T13:42:00Z,9:30
YSG,2.375,-0.107143,a4_earnings_recency,days_since_earnings=0;report_date=2026-09-02,,2026-09-02T13:42:00Z,9:30
OLOX,0.9999,-0.106818,a6_reverse_split_proxy,split_ratio_proxy=113.93;high_52_weeks=113.92;last_price=0.9999,a6,2026-09-02T13:42:00Z,9:30
IPEX,9.678,-0.101887,a7_thin_liquidity,ask_gap_pct=0.0333;last_real_price=9.678;ask=10.00;reason=gap_exceeded,,2026-09-02T13:42:00Z,9:30
CLGN,0.3344,-0.100913,a1_spread,spread_pct=0.0867,,2026-09-02T13:42:00Z,9:30
