symbol,bracket_last_price,bracket_pct_change,skip_reason,detail
LGCL,0.0695,-0.16265060240963852,spread_exceeded,spread_pct=0.0964
UTSI,2.02,-0.12931034482758613,spread_exceeded,spread_pct=0.1337
CLIR,4.092,-0.12657417289220918,spread_exceeded,spread_pct=0.1222
WZRD,0.89,-0.1188118811881188,spread_exceeded,spread_pct=0.0946 (stale last_trade_price from prior session)
GDTC,0.8025,-0.10734149054505009,spread_exceeded,spread_pct=0.208 (stale last_trade_price from prior session)
AIXI,0.5,-0.10730226745224074,spread_exceeded,spread_pct=0.1624
PFSA,6.39,-0.15587846763540297,atr_exceeded,atr_14_pct=0.614 atr_3_pct=1.5238
OMH,0.089,-0.14423076923076925,atr_exceeded,atr_14_pct=1.02 atr_3_pct=0.2461
GYGY,1.41,-0.14024390243902438,atr_exceeded,atr_14_pct=0.9792 atr_3_pct=0.7632
MMA,0.435,-0.23172024019781,prior_spike,peak_to_baseline_ratio=2.161 volume_spike_ratio=3605.9
ISPC,1.785,-0.2136563876651983,prior_spike,peak_to_baseline_ratio=1.3824 volume_spike_ratio=200.62
FLUX,0.6573,-0.19841463414634142,prior_spike,peak_to_baseline_ratio=1.5787 volume_spike_ratio=61.59
CAST,1.575,-0.15775401069518724,prior_spike,peak_to_baseline_ratio=1.6991 volume_spike_ratio=46.09
PCLA,7.3371,-0.13579505300353353,prior_spike,peak_to_baseline_ratio=3.687 (>=2.5 hard skip)
GAUZ,0.2908,-0.11878787878787882,prior_spike,peak_to_baseline_ratio=3.1626 (>=2.5 hard skip)
BRLS,1.5601,-0.10851428571428569,prior_spike,peak_to_baseline_ratio=2.9922 (>=2.5 hard skip)
HUIZ,1.65,-0.10326086956521748,prior_spike,peak_to_baseline_ratio=2.6437 (>=2.5 hard skip)
SGLY,2.86,-0.16860465116279072,a5_compliance,financial_status_indicator=CC0 present financial_status_description=blank
CRCD,2.6,-0.13621262458471753,a5_compliance,financial_status_indicator=CB0 present financial_status_description=blank
KBSX,0.9293,-0.1274178403755868,a5_compliance,financial_status_indicator=CC0 present financial_status_description=blank
TWG,0.6998,-0.12525000000000008,a5_compliance,financial_status_indicator=CC0 present financial_status_description=blank
ASTN,4.14,-0.12288135593220341,a5_compliance,financial_status_indicator=CB0 present financial_status_description=blank
IREZ,9.5,-0.12118408880666054,a5_compliance,financial_status_indicator=CB0 present financial_status_description=blank
QBTZ,3.1199,-0.11113960113960111,a5_compliance,financial_status_indicator=CC0 present financial_status_description=blank
VCIG,0.2101,-0.10974576271186433,a5_compliance,financial_status_indicator=CC0 present financial_status_description=blank
RYDE,0.7531,-0.10865191146881287,a5_compliance,financial_status_indicator=CB0 present financial_status_description=blank
FBDT,3.7,-0.10843373493975907,a5_compliance,financial_status_indicator=CC0 present financial_status_description=blank; insufficient_history at a3 (only 1 non-interpolated bar in 16d window, proceeded past a3)
BTCZ,3.7,-0.10519951632406278,a5_compliance,financial_status_indicator=CB0 present financial_status_description=blank
