symbol,old_target,new_target,peak_price,decay_pct,trailing_valid,reason
PLTD,6.78,6.78,6.4901,0.05,false,unchanged - decay target already current (before-1:30pm bracket), trailing 6.37 invalid (<avg_buy_price 6.45)
CRIS,3.25,3.25,3.119,0.05,false,unchanged - decay target already current (before-1:30pm bracket), trailing 3.06 invalid (<avg_buy_price 3.09)
RECT,1.30,1.30,1.2899,0.05,true,unchanged - decay target already current (before-1:30pm bracket) and higher than valid trailing 1.27
