timestamp_utc,symbol,old_target,new_target,peak_price,low_since_buy,decay_pct,reason
2026-09-16T15:39:40Z,BAK,1.89,1.89,1.8398,1.785,0.05,a2_checked_peak_above_tolerance_1.7982;decay_dominant_no_change
2026-09-16T15:39:40Z,CNXU,4.70,4.70,4.685,4.3613,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,BBOT,6.03,6.03,5.79,4.7201,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,CVV,5.19,5.19,4.95,4.47,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,SMR,9.54,9.54,9.1865,8.10,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,MKDW,7.24,7.24,6.89,5.30,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,RADX,1.91,1.91,1.81,1.50,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,MRLN,2.51,2.51,2.40,2.255,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,FBDT,0.872,0.872,0.850,0.800,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,GWAV,2.48,2.48,2.460,2.310,0.05,decay_dominant_no_change
2026-09-16T15:39:40Z,TNON,4.77,4.77,4.650,4.4518,0.05,decay_dominant_no_change
