symbol,name,last_price,pct_change,market_cap,volume
HWO,Hotchkis & Wiley Funds Hotchkis & Wiley Opportunities Fund,27.19,-0.9969172470515038,,0
HXC,Mast HedgeIndex Strategic Commodities ETF,25.01,-0.9958690911176259,,8
TCRX,TScan Therapeutics,0.4369,-0.3442893591475311,4.5100315e+07,2.14356044661e+06
ADBT,Advasa Holdings,2.43,-0.33967391304347827,1.79727244e+09,250618.939807
CRD,Corgi CRDO 2x Daily ETF,11.05,-0.33070866141732286,,21665.059139
CRDU,Tradr 2X Long CRDO Daily ETF,7.675,-0.3291083916083916,,7.052491364191e+06
WETO,Wetour Robotics,4.07,-0.3148148148148148,6.434471e+06,3.426543965831e+06
XPL,Solitario Resources,0.5762,-0.24778067885117488,7.2528298e+07,1.0177029873e+06
CANF,Can-Fite BioPharma,2.55,-0.22492401215805477,7.075086e+06,1.8610165943358e+07
CDT,CDT Equity,1.15,-0.22297297297297303,1.109204e+06,616757.595837
SDST,Stardust Power Inc.,0.2752,-0.2139388746072551,5.194484e+06,5.288495780897e+06
AMOD,Alpha Modus,2.1899,-0.20942238267148008,1.3807754e+07,282170.857636
ASTN,Defiance Daily Target 2X Short ASTS ETF,4.78,-0.20729684908789386,,1.637532367591e+06
APUS,Apimeds Pharmaceuticals US,2.88,-0.18644067796610173,5.342277e+06,14398.7365
NUR,Nuran Wireless,1.8504,-0.1646049661399548,2.8953161e+07,3835.226629
SSM,Sono Group N.V.,4.0501,-0.1482439537329128,6.965285e+06,928775.209481
CLGN,CollPlant Biotechnologies,0.3175,-0.14787976382179277,7.007381e+06,1.160910884449e+06
PALU,Direxion Daily PANW Bull 2X ETF,46.375,-0.14468830689782367,,214737.831109
PANG,Leverage Shares 2X Long PANW Daily ETF,28.5516,-0.143109243697479,,93406.021608
KIDZ,KIDZ AI Inc. Class B,3.51,-0.13333333333333336,3.485741e+06,610780.772287
FCEL,FuelCell Energy,14.835,-0.13144028103044483,1.365617667e+09,5.923955937926e+06
TANH,Tantech Holdings,0.2955,-0.1303708063566804,4.761333e+06,385726.167073
LRNX,Corgi LRN 2x Daily ETF,22.1,-0.13021917689610243,,0
CBRZ,Tradr 2X Short CBRS Daily ETF,10.9,-0.13008778930566633,,225318.986429
DGZ,DB Gold Short ETN,4.84,-0.12930848384543425,,713.6064
XLAB,Exascale Labs Holdings Inc.,3.5003,-0.1271072319201994,2.5596e+08,75651.653565
RDAC,Rising Dragon Acquisition Corp.,5.683,-0.1189147286821706,3.9425573e+07,134358.081488
QIS,Simplify Multi-QIS Alternative ETF,10.17,-0.11861057667307998,,0
DDC,DDC Enterprise Limited,0.3019,-0.11854014598540152,1.6272527e+07,9.154481443631e+06
WHLR,Wheeler Real Estate Investment Trust,0.5115,-0.11703780424650453,349560,999699.569597
FMFC,Kandal M Venture Limited,0.2031,-0.11618798955613577,4.1175e+06,2.4046264537e+06
DBGI,Digital Brands Group,4.327,-0.11513292433537828,2.781252e+06,86509.390002
USDE,StablecoinX Inc. Class A,7.41,-0.11363636363636356,2.01366162e+08,1.815003623664e+06
BRZD,MicroSectors -3x Short Brazil ETNs,36.02,-0.11220654384127168,,1106
HKPD,"Cellyan Biotechnology Co., Ltd Class A",0.1615,-0.11019283746556469,8.802742e+06,1.1415550312978e+07
DFNS,T3 Defense,8.9709,-0.11002976190476188,1.0175684e+07,206396.087916
FRVO,Fervo Energy,17.58,-0.10987341772151907,5.82157318e+09,5.444170454542e+06
ELOG,Eastern International Ltd.,0.65,-0.10946705028086036,9.366076e+06,1052.129943
RDIB,Reading International,15.8,-0.10734463276836151,7.3622953e+07,10055.960071
EFFE,Harbor Osmosis Emerging Markets Resource Efficient ETF,25.54,-0.10659628576325851,,0
LABT,Lakewood-Amedex Biotherapeutics Inc,2.47,-0.1050724637681158,6.540338e+06,174971.926827
YMT,Yimutian,2.2501,-0.09995999999999991,1.191427e+06,43091.236842
WXM,WF International Limited,3.9301,-0.09963344788087063,1.2922104e+07,6526.8537
CYAB,"Cyabra, Inc.",0.4502,-0.09960000000000002,8.798535e+06,727010.113881
GDXD,MicroSectors Gold Miners -3x Inverse Leveraged ETN,17.4528,-0.09711329539575782,,2.006979745479e+06
BAOS,Baosheng Media Group,0.2833,-0.09488817891373803,468171,206642
TAOP,Taoping,0.8002,-0.09109495683780093,8.454658e+06,20189.8971
GCL,GCL Global Holdings,0.468,-0.09020217729393458,6.5847676e+07,69632.3046
LGHL,Lion Group Holding Ltd.,0.4308,-0.09017951425554374,430153,306226.371328
BRZX,Corgi Brazil 2x Daily ETF,23.3349,-0.08983150011701382,,0
PCG,PG&E,12.835,-0.087126600284495,4.2213278698e+10,3.7320253981267e+07
NIOG,Leverage Shares 2X Long NIO Daily ETF,7.159,-0.0868622448979592,,183466.097614
IVVD,Invivyd,0.8037,-0.086600750085237,2.57737047e+08,1.542605678533e+06
JDST,Direxion Daily Junior Gold Miners Index Bear 2X ETF,21.27,-0.08476764199655762,,527139.38171
DLXY,Delixy Holdings Limited Class A,0.3948,-0.08186046511627909,7.0305e+06,250713.717948
MIMI,Mint Incorporation,0.6551,-0.08159259778494325,9.340013e+06,255054.121651
BGIN,Bgin Blockchain Limited,1.93,-0.08090861469593788,2.37574162e+08,3607.5556
EMPD,Empery Digital,3.23,-0.07977207977207972,9.8525939e+07,135369.629614
PLTA,ProShares Ultra PLTR,18.8,-0.07918517684052752,,2821.33512
DWSN,Dawson Geophysical,3.1967,-0.0787608069164266,1.07762994e+08,110926.041536
AIIO,Robo.ai,1.8893,-0.07839024390243896,3.46583744e+08,816937.088241
FFAI,Faraday Future Intelligent Electric,1.945,-0.07819905213270134,8.134684e+06,1.254673005888e+06
CUE,Cue Biopharma,26.29,-0.07559774964838263,2.06382001e+08,46644.059549
CRWL,GraniteShares ETF Trust GraniteShares 2x Long CRWD Daily ETF,66.98,-0.0748618784530387,,115927.535393
EIX,Edison International,54.43,-0.07431972789115643,2.2627061965e+10,3.023227093312e+06
XTIA,"XTI Aerospace, Inc.",1.065,-0.07391304347826085,4.4249457e+07,504435.263487
TNMG,TNL Mediagene,0.449,-0.07384488448844884,1.397623e+06,98737.737837
YDDL,One and One Green Technologies,1.695,-0.07377049180327869,1.03661666e+08,246111.090683
XPON,Expion Energy,5.7162,-0.07354943273906,5.900252e+06,44903.014504
ATHR,Aether Holdings,2.79,-0.07308970099667766,3.6836557e+07,13785.4952
PLTU,Direxion Daily PLTR Bull 2X ETF,49.65,-0.0721360493365726,,353128.606093
BZQ,ProShares UltraShort MSCI Brazil Capped,18.79,-0.07206668872504246,,8095.738562
PTIR,GraniteShares ETF Trust GraniteShares 2x Long PLTR Daily ETF,18.51,-0.07124937280481677,,1.312320880532e+06
VCIG,VCI Global,1.73,-0.06989247311827963,1.151947e+06,50962.271117
GWH,ESS Tech,0.3165,-0.06966490299823633,1.3393682e+07,439292.165909
ADVB,Advanced Biomed,9.7172,-0.06923371647509574,1.7248268e+07,15236.52278
AXTQ,Tradr 2X Short AXTI Daily ETF,57.4101,-0.06922665369649805,,64125.199302
BLRX,BioLineRx,2.57,-0.06884057971014491,1.3583424e+07,13877.86162
