symbol,old_target,new_target,peak_price,decay_pct,reason
VIVS,0.657,0.665,0.6785,0.05,trailing_target_increased_peak_0.6785_updated_from_0.657_to_0.665
VCIG,1.22,1.22,1.24,0.05,no_change_trailing_matches_current
STFS,11.71,11.71,10.38,0.05,no_change_decay_floor_peak_below_avg
JAGX,1.11,1.11,1.08,0.05,no_change_decay_floor_corrected_lot_start_2026-07-23_peak_1.08
CSAI,0.389,0.389,0.39,0.05,no_change_decay_floor
CETY,1.08,1.08,1.0199,0.05,no_change_decay_floor_peak_below_avg
POM,1.17,1.17,1.13,0.05,no_change_decay_floor
FRGT,3.41,3.41,3.2399,0.05,no_change_decay_floor_corrected_lot_start_2026-07-23_peak_at_cost
GVH,2.27,2.27,2.2099,0.05,no_change_decay_floor
QMLS,12.61,12.60,11.9999,0.05,decay_floor_recompute_peak_never_exceeded_cost_corrected_down_1_cent
AMPG,6.05,6.05,5.83,0.05,no_change_decay_floor_corrected_lot_start_2026-07-24
TSLA,341.95,341.95,326.34,0.05,no_change_decay_floor_dominant
ATER,0.504,0.504,0.4825,0.05,no_change_decay_floor
CBRG,4.79,4.79,4.6799,0.05,no_change_decay_floor
IRAB,10.48,10.48,,0.05,no_change_no_real_trades_since_buy_all_bars_interpolated
CRWU,3.54,3.54,3.39,0.05,no_change_decay_floor
SKHL,10.10,10.10,9.73,0.05,no_change_decay_floor
AEHG,8.92,8.92,8.6809,0.05,no_change_decay_floor
AXTU,3.24,3.24,3.1477,0.05,no_change_decay_floor
AXTX,6.07,6.07,5.9421,0.05,no_change_decay_floor
AAOG,3.21,3.21,3.10,0.05,no_change_decay_floor
COHH,7.84,7.84,7.5437,0.05,no_change_decay_floor
KSCP,1.65,1.65,1.5974,0.05,no_change_decay_floor
ODYS,5.10,5.10,4.80,0.05,no_change_decay_floor_peak_below_avg
EXYN,3.19,3.19,3.25,0.05,no_change_decay_and_trailing_equal
BAOS,1.73,1.73,1.61,0.05,no_change_decay_floor_peak_below_avg
XHG,1.10,1.10,1.01,0.05,no_change_decay_floor_peak_below_avg
GLXU,6.90,6.90,6.48,0.05,no_change_decay_floor_peak_below_avg
IREG,9.05,9.05,9.00,0.05,no_change_decay_floor
TAOX,3.61,3.61,3.55,0.05,no_change_decay_floor
MODD,3.10,3.10,2.85,0.05,no_change_decay_floor_peak_below_avg
SNDC,9.43,9.43,9.00,0.05,no_change_decay_floor
SPCH,6.92,6.92,6.66,0.05,no_change_decay_floor
POEL,9.63,9.63,9.149,0.05,no_change_decay_floor_peak_below_avg
KEEL,4.76,4.76,4.5266,0.05,no_change_decay_floor_peak_below_avg
HYLN,4.05,4.05,3.93,0.05,no_change_decay_floor
SPAX,6.97,6.97,6.72,0.05,no_change_decay_floor
SPCU,9.21,9.21,8.89,0.05,no_change_decay_floor
PLU,9.17,9.17,8.75,0.05,no_change_decay_floor
MPG,3.55,3.55,3.38,0.05,no_change_decay_floor_peak_at_cost
SKYQ,4.10,4.10,3.912,0.05,no_change_decay_floor
BCAR,9.55,9.55,9.10,0.05,no_change_decay_floor
REPL,9.13,9.13,8.78,0.05,no_change_decay_floor
TPET,0.284,0.284,0.2672,0.05,no_change_decay_floor_peak_below_avg
