symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.17,7.17,7.060,0.02,no change
SOBR,1.23,1.23,1.215,0.02,no change
ALP,0.257,0.26,0.2578,0.02,decay
VIVS,0.685,0.69,0.6469,0.02,decay
ZBAO,0.255,0.26,0.2577,0.02,decay
VCIG,1.22,1.22,1.240,0.02,no change
PLAG,1.00,1.00,1.010,0.02,no change
STFS,11.38,11.38,10.380,0.02,no change
DFNS,0.064,0.064,0.0651,0.02,no change
CYCU,0.402,0.41,0.407,0.02,decay
CSAI,0.383,0.39,0.390,0.02,trailing
CETY,1.05,1.05,0.955,0.02,no change
POM,1.14,1.14,1.130,0.02,no change
FRGT,3.90,3.90,3.930,0.02,no change
