symbol,name,last_price,pct_change,market_cap,volume
SXTC,China SXT Pharmaceuticals,0.0589,-0.82291040288635,1.3292248e+07,2.17432705057082e+08
CISS,C3is Inc,0.4946,-0.48586278586278586,1.426892e+06,1.393241581625e+06
VSTD,Vestand,0.0979,-0.4561111111111111,2.614496e+06,1.965231e+06
VYNE,VYNE Therapeutics,0.5195,-0.4374052414988088,3.1298489e+07,2.600660080737e+06
RBNE,Robin Energy,3.225,-0.4322183098591549,3.295801e+06,762880.090611
VTAK,Catheter Precision,0.2588,-0.364752086401571,1.470498e+06,4.253837707822e+06
GSUN,Golden Sun Technology Group,0.2199,-0.36445086705202306,3.469989e+06,1.27516219949512e+08
BAOS,Baosheng Media Group,1.16,-0.32163742690058483,2.623972e+06,74102.32
RITR,Reitar Logtech Holdings,0.0909,-0.3045141545524102,8.161398e+06,2.897831e+06
HODO,House of Doge,0.8647,-0.27941666666666665,9.07005e+07,2.833098835502e+06
BIYA,Baiya International Group Inc Class A,1.945,-0.2742537313432836,1.1521885e+07,506769.145851
WBUY,WEBUY GLOBAL LTD.,0.8155,-0.2718750000000001,6.138835e+06,3.237900573888e+06
ATER,Aterian,0.4072,-0.25963636363636367,6.086519e+06,778089.170395
LGHL,Lion Group Holding Ltd.,0.92,-0.2580645161290322,1.153596e+06,504044.436169
WETO,Wetour Robotics,0.0854,-0.2534965034965035,9.057528e+06,1.5094363214948e+07
ZBAO,Zhibao Technology,0.1883,-0.2533703409992069,8.317865e+06,5.685342280059e+06
CDXS,Codexis,1.495,-0.24874371859296476,1.79975202e+08,8.436902459848e+06
SLGB,Smart Logistics Global Limited Class A,0.6201,-0.24359599902415222,3.6891e+07,573605.605542
KIDZ,KIDZ AI Inc. Class B,0.4131,-0.2409040793825799,1.118417e+06,2.11197716454e+06
AEHL,Antelope Enterprise,0.5442,-0.24058051911805747,1.2791119e+07,6.923306724557e+06
YMT,Yimutian,0.3156,-0.24043321299638987,3.058442e+06,456981.066667
LODE,Comstock,2.955,-0.23840206185567006,2.94542765e+08,5.769050371609e+06
MXL,MaxLinear,69.86,-0.23432704953967554,8.170173299e+09,9.047898740788e+06
ZVRA,Zevra Therapeutics,9.61,-0.23242811501597446,7.39234125e+08,6.384629242482e+06
LGCL,Lucas GC Limited,1.3512,-0.2322727272727273,7.5739015e+07,4.516735526214e+06
VCIG,VCI Global,0.4931,-0.2314526184538653,5.933059e+06,713071.974343
