symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.17,7.38,7.06,0.05,"decay (trail invalid, peak<avg*1.05 impact)"
SOBR,1.23,1.26,1.215,0.05,"decay (trail invalid, peak*0.98<=avg)"
ALP,0.255,0.263,0.2578,0.05,decay>trailing
VCIG,1.22,1.22,1.24,0.05,"trailing==decay, no change"
PLAG,1.0,1.03,1.01,0.05,decay>trailing
STFS,11.38,11.71,10.38,0.05,"decay (trail invalid, peak<avg)"
CYCU,0.399,0.41,0.407,0.05,decay>trailing
CSAI,0.383,0.389,0.39,0.05,decay>trailing
CETY,1.05,1.08,0.9898,0.05,"decay (trail invalid, peak<avg)"
POM,1.14,1.17,1.13,0.05,"decay (trail invalid, peak<avg)"
FRGT,3.9,4.02,3.93,0.05,decay>trailing
GVH,2.21,2.27,2.09,0.05,"decay (trail invalid, peak<avg)"
BIVI,1.47,1.51,1.49,0.05,decay>trailing
QMLS,12.24,12.6,11.9999,0.05,"decay (trail invalid, peak<avg)"
TEMT,17.29,17.8,17.5597,0.05,decay>trailing
VIVS,0.684,0.657,0.67,0.05,"trailing>decay; ALSO fixed coverage gap: prior resting order covered only 156 of 356 sh (200 sh bought manually in extended hours 7/21 by user, uncovered); consolidated into one order for full 356 sh at blended avg_buy_price=0.55"
