symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.31,7.24,7.06,0.03,decay
SOBR,1.25,1.24,1.215,0.03,decay
ALP,0.262,0.260,0.2578,0.03,decay
VIVS,0.699,0.692,0.670,0.03,decay
ZBAO,0.260,0.258,0.2577,0.03,decay
VCIG,1.22,1.22,1.24,0.03,no change
PLAG,1.02,1.01,1.010,0.03,decay
STFS,11.60,11.49,10.38,0.03,decay
CYCU,0.406,0.406,0.407,0.03,no change
CSAI,0.384,0.383,0.390,0.03,trailing
CETY,1.07,1.06,0.9898,0.03,decay
POM,1.16,1.15,1.130,0.03,decay
FRGT,3.98,3.94,3.930,0.03,decay
DFNS,6.27,6.21,n/a,0.03,decay (no buy-fill order found in history; trailing peak not computable, decay-only)
GVH,2.25,2.23,2.070,0.03,decay
MSS,0.484,0.479,0.4796,0.03,decay
BIVI,1.49,1.48,1.490,0.03,decay
GLXG,0.957,0.948,0.945,0.03,decay
QMLS,12.48,12.36,11.9999,0.03,decay
TEMT,17.63,17.47,17.450,0.03,decay
