symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,decline_bucket,price_bucket,simulated,closed,closed_at,decay_close_roi_pct,peak_price_reached,pct_of_target_reached_if_not_closed,liquidation_triggered,liquidation_exit_price,liquidation_roi_pct,eod_sell_price,eod_sell_roi_pct
AACG,under120,20260918T1338Z,morning,0.7982,-0.052694042250178014,False,shallow_outside,<1,True,True,2026-09-18T17:30:00Z,5.8632,0.8615,,False,,,0.84,5.2368
AAOZ,under120,20260918T1338Z,morning,14.0311,-0.07477085393999333,False,other_price_or_range,10-120,False,,,,,,,,,,
AARD,under120,20260918T1436Z,morning,5.21,-0.057866184448462976,False,shallow_outside,3-10,True,True,2026-09-18T18:30:00Z,3.071,5.39,,False,,,5.36,2.8791
ABTS,under120,20260918T1338Z,morning,1.1601,-0.18572331017056234,True,in_bracket,1-3,True,True,2026-09-18T14:40:00Z,5.1633,1.22,,False,,,1.32,13.7833
ACH,under120,20260918T1436Z,morning,0.9528,-0.07495145631067965,False,shallow_outside,<1,True,True,2026-09-18T19:25:00Z,3.9043,1.01,,False,,,0.9285,-2.5504
ADBT,under120,20260918T1436Z,morning,0.1313,-0.07794943820224719,False,shallow_outside,<1,True,True,2026-09-18T15:10:00Z,5.1028,0.1395,,False,,,0.1335,1.6756
ADIL,under120,20260918T1436Z,morning,4.91,-0.057581573896353135,False,shallow_outside,3-10,True,False,,,5.12,190.91,False,,,4.89,-0.4073
AEHG,under120,20260918T1436Z,morning,7.115,-0.050066755674232306,False,shallow_outside,3-10,True,True,2026-09-18T17:30:00Z,4.0056,7.4399,,False,,,7.945,11.6655
AEHL,under120,20260918T1338Z,morning,11.655,-0.05166802278275019,False,other_price_or_range,10-120,False,,,,,,,,,,
AEI,under120,20260918T1436Z,morning,0.8401,-0.13480947476828015,True,in_bracket,<1,True,False,,,0.8751,195.53,False,,,0.8315,-1.0237
AEMD,under120,20260918T1338Z,morning,6.2,-0.08554572271386432,False,shallow_outside,3-10,True,True,2026-09-18T18:20:00Z,4.0323,6.45,,False,,,6.3,1.6129
AGMH,under120,20260918T1338Z,morning,0.7622,-0.08168674698795178,False,shallow_outside,<1,True,True,2026-09-18T13:40:00Z,5.4841,0.82,,False,,,0.8098,6.2451
AIFF,under120,20260918T1436Z,morning,1.195,-0.06640624999999997,False,shallow_outside,1-3,True,True,2026-09-18T17:45:00Z,4.6025,1.26,,False,,,1.24,3.7657
AIRO,under120,20260918T1536Z,morning,6.99,-0.05284552845528451,False,shallow_outside,3-10,True,True,2026-09-18T19:30:00Z,2.0029,7.14,,False,,,7.0,0.1431
AIXC,under120,20260918T1436Z,morning,0.98,-0.057692307692307744,False,shallow_outside,<1,True,True,2026-09-18T15:50:00Z,5.102,1.04,,False,,,1.09,11.2245
AKAL,under120,20260918T1436Z,morning,17.26,-0.06301572135846426,False,other_price_or_range,10-120,False,,,,,,,,,,
ALBG,under120,20260918T1436Z,morning,4.7723,-0.06952757901304361,False,shallow_outside,3-10,True,False,,,4.81,38.59,True,4.77,-0.0482,4.74,-0.6768
AMPU,under120,20260918T1436Z,morning,1.94,-0.0536585365853658,False,shallow_outside,1-3,True,True,2026-09-18T19:20:00Z,3.0928,2.02,,False,,,2.02,4.1237
AMR,120to500,20260918T1338Z,morning,175.32,-0.05093920857467654,False,other_price_or_range,120-500,False,,,,,,,,,,
AMZE,under120,20260918T1338Z,morning,0.1268,-0.10388692579505295,True,in_bracket,<1,True,True,2026-09-18T14:20:00Z,5.6782,0.1359,,False,,,0.1499,18.2177
ARRY,under120,20260918T1436Z,morning,3.995,-0.05778301886792455,False,shallow_outside,3-10,True,False,,,4.06,76.47,False,,,4.05,1.3767
ASTG,under120,20260918T1338Z,morning,7.66,-0.06716190708153189,False,shallow_outside,3-10,True,False,,,7.66,0.0,True,7.1101,-7.1789,7.13,-6.9191
ASTS,under120,20260918T1436Z,morning,58.99,-0.05932068250677721,False,other_price_or_range,10-120,False,,,,,,,,,,
ASTT,under120,20260918T1338Z,morning,15.9,-0.11714242880225648,False,other_price_or_range,10-120,False,,,,,,,,,,
ASTX,under120,20260918T1338Z,morning,10.2699,-0.07311371841155237,False,other_price_or_range,10-120,False,,,,,,,,,,
ASTY,under120,20260918T1436Z,morning,5.22,-0.12268907563025216,True,in_bracket,3-10,True,False,,,5.256,32.73,False,,,5.145,-1.4368
ASUP,under120,20260918T1536Z,morning,6.55,-0.13814655455992844,True,in_bracket,3-10,True,False,,,6.63,57.14,False,,,6.5602,0.1557
ASUR,under120,20260918T1536Z,morning,8.045,-0.05017709563164117,False,shallow_outside,3-10,True,False,,,8.195,90.91,False,,,8.1,0.6837
ATGL,under120,20260918T1436Z,morning,4.64,-0.07936507936507943,False,shallow_outside,3-10,True,True,2026-09-18T15:15:00Z,5.1724,4.9,,False,,,4.8,3.4483
AXTQ,under120,20260918T1338Z,morning,32.5,-0.0682339449541285,False,other_price_or_range,10-120,False,,,,,,,,,,
BAOS,under120,20260918T1436Z,morning,0.27,-0.05495274763738184,False,shallow_outside,<1,True,False,,,0.2806,176.67,False,,,0.2755,2.037
BCHT,under120,20260918T1436Z,morning,1.5517,-0.059575757575757476,False,shallow_outside,1-3,True,True,2026-09-18T16:45:00Z,5.0461,1.635,,False,,,1.68,8.2684
