symbol,old_target,new_target,peak_price,decay_pct,reason
ARI,7.24,7.17,7.06,0.02,decay
SOBR,1.24,1.23,1.215,0.02,decay
ALP,0.260,0.257,0.2578,0.02,decay
VIVS,0.692,0.685,0.670,0.02,decay (peak below avg_buy_price, trailing invalid)
ZBAO,0.258,0.255,0.2577,0.02,decay
VCIG,1.22,1.22,1.24,0.02,no change
PLAG,1.01,1.00,1.010,0.02,decay
STFS,11.49,11.38,10.38,0.02,decay (peak below avg_buy_price, trailing invalid)
CYCU,0.406,0.402,0.407,0.02,decay
CSAI,0.383,0.383,0.390,0.02,no change
CETY,1.06,1.05,0.9898,0.02,decay (peak below avg_buy_price, trailing invalid)
POM,1.15,1.14,1.130,0.02,decay
FRGT,3.94,3.90,3.930,0.02,decay
DFNS,6.15,7.98,8.1375,0.02,trailing (buy-fill timestamp reconstructed post reverse-split; corrects concurrent run's decay-only fallback)
GVH,2.23,2.21,2.090,0.02,decay (bought this morning, peak below avg_buy_price, trailing invalid)
MSS,0.479,0.474,0.4796,0.02,decay
BIVI,1.48,1.47,1.490,0.02,trailing
GLXG,0.948,0.939,0.945,0.02,decay
QMLS,12.36,12.24,11.9999,0.02,decay (peak essentially equals avg_buy_price, trailing invalid)
TEMT,17.47,17.30,17.450,0.02,decay
